"measure","status","current_description","replacement_description","expression"
"meas.ssr_history_asof_open_pipeline_adj_amt_sply","KEEP","Measure calculating ssr history asof open pipeline adj amt sply. Respects the current filter context.","Returns total open pipeline amount as of the selected as-of date in the same period last year where step is New Logo Selling or Existing Customer Selling.","-- NOTE Open pipeline needs to override normal filter dates and is depndant on a second SYNCED slicer tied to the cal_end_dates_no_relationship table 
			var temp_date =  CALCULATE(LASTDATE(cal_start_dates[Date]), ALLSELECTED())  -- get the end date of the second slicer 
			var end_date  = DATE(Year(Temp_date) -1, MONTH(temp_date), DAY(temp_date)) -- shift one year older
			var all_dates_tbl = CALCULATETABLE(ssr_history, cal_end_dates[Date] > date(1900,1,1) && cal_end_dates[Date] < date(2100,1,2)) -- override the normal date filter and get current filters through calc table
			var filt_tbl = FILTER(all_dates_tbl,ssr_history[step_name] in {""New Logo Selling"", ""Existing Customer Selling""}  && ssr_history[_sys_filt_end_date] >= end_date &&  ssr_history[_sys_filt_start_date] < end_date) -- apply the right steps and filter dates
			
			var res = SUMX(filt_tbl, ssr_history[opp_booking_amt] * ssr_history[step_success_prob] )
			
			return res"
"meas.ssr_history_asof_open_pipeline_adj_amt_sply_diff","KEEP","Measure calculating ssr history asof open pipeline adj amt sply diff. Respects the current filter context.","Returns asof open pipeline adjusted amount same period last year difference.","var res =DIVIDE ([meas.ssr_history_asof_open_pipeline_adj_amt]  - [meas.ssr_history_asof_open_pipeline_adj_amt_sply], [meas.ssr_history_asof_open_pipeline_adj_amt_sply])
			return res"
"meas.ssr_history_asof_open_pipeline_age","KEEP","Measure calculating ssr history asof open pipeline age. Respects the current filter context.","Returns total open pipeline amount as of the selected as-of date where step is New Logo Selling or Existing Customer Selling.","-- NOTE Open pipeline needs to override normal filter dates and is depndant on a second SYNCED slicer tied to the cal_end_dates_no_relationship table 
			var end_date =  CALCULATE(LASTDATE(cal_start_dates[Date]), ALLSELECTED())  -- get the end date of the second slicer 
			var all_dates_tbl = CALCULATETABLE(ssr_history, cal_end_dates[Date] > date(1900,1,1) && cal_end_dates[Date] < date(2100,1,2)) -- override the normal date filter and get current filters through calc table
			var filt_tbl = FILTER(all_dates_tbl,ssr_history[step_name] in {""New Logo Selling"", ""Existing Customer Selling""}  && ssr_history[_sys_filt_end_date] >= end_date &&  ssr_history[_sys_filt_start_date] < end_date) -- apply the right steps and filter dates
			
			var res = AVERAGEX(filt_tbl, ssr_history[step_length_in_days])
			
			return res"
"meas.ssr_history_asof_open_pipeline_age_sply","KEEP","Measure calculating ssr history asof open pipeline age sply. Respects the current filter context.","Returns total open pipeline amount as of the selected as-of date in the same period last year where step is New Logo Selling or Existing Customer Selling.","-- NOTE Open pipeline needs to override normal filter dates and is depndant on a second SYNCED slicer tied to the cal_end_dates_no_relationship table 
			var temp_date =  CALCULATE(LASTDATE(cal_start_dates[Date]), ALLSELECTED())  -- get the end date of the second slicer 
			var end_date  = DATE(Year(Temp_date) -1, MONTH(temp_date), DAY(temp_date)) -- shift one year older
			
			var all_dates_tbl = CALCULATETABLE(ssr_history, cal_end_dates[Date] > date(1900,1,1) && cal_end_dates[Date] < date(2100,1,2)) -- override the normal date filter and get current filters through calc table
			var filt_tbl = FILTER(all_dates_tbl,ssr_history[step_name] in {""New Logo Selling"", ""Existing Customer Selling""}  && ssr_history[_sys_filt_end_date] >= end_date &&  ssr_history[_sys_filt_start_date] < end_date) -- apply the right steps and filter dates
			
			var res = AVERAGEX(filt_tbl, ssr_history[step_length_in_days])
			
			return res"
"meas.ssr_history_asof_open_pipeline_age_sply_diff","KEEP","Measure calculating ssr history asof open pipeline age sply diff. Respects the current filter context.","Returns asof open pipeline age same period last year difference.","var res =DIVIDE ([meas.ssr_history_asof_open_pipeline_age]  - [meas.ssr_history_asof_open_pipeline_age_sply], [meas.ssr_history_asof_open_pipeline_age_sply])
			return res"
"meas.ssr_history_asof_open_pipeline_amt","KEEP","Measure calculating ssr history asof open pipeline amt. Respects the current filter context.","Returns total open pipeline amount as of the selected as-of date where step is New Logo Selling or Existing Customer Selling.","-- NOTE Open pipeline needs to override normal filter dates and is depndant on a second SYNCED slicer tied to the cal_end_dates_no_relationship table 
			var end_date =  CALCULATE(LASTDATE(cal_start_dates[Date]), ALLSELECTED())  -- get the end date of the second slicer 
			var all_dates_tbl = CALCULATETABLE(ssr_history, cal_end_dates[Date] > date(1900,1,1) && cal_end_dates[Date] < date(2100,1,2)) -- override the normal date filter and get current filters through calc table
			var filt_tbl = FILTER(all_dates_tbl,ssr_history[step_name] in {""New Logo Selling"", ""Existing Customer Selling""}  && ssr_history[_sys_filt_end_date] >= end_date &&  ssr_history[_sys_filt_start_date] < end_date) -- apply the right steps and filter dates
			
			var res = SUMX(filt_tbl, ssr_history[opp_booking_amt])
			
			return 
			res+0"
"meas.ssr_history_asof_open_pipeline_amt_sply","KEEP","Measure calculating ssr history asof open pipeline amt sply. Respects the current filter context.","Returns total open pipeline amount as of the selected as-of date in the same period last year where step is New Logo Selling or Existing Customer Selling.","-- NOTE Open pipeline needs to override normal filter dates and is depndant on a second SYNCED slicer tied to the cal_end_dates_no_relationship table 
			var temp_date =  CALCULATE(LASTDATE(cal_start_dates[Date]), ALLSELECTED())  -- get the end date of the second slicer 
			var end_date  = DATE(Year(Temp_date) -1, MONTH(temp_date), DAY(temp_date)) -- shift one year older
			
			var all_dates_tbl = CALCULATETABLE(ssr_history, cal_end_dates[Date] > date(1900,1,1) && cal_end_dates[Date] < date(2100,1,2)) -- override the normal date filter and get current filters through calc table
			var filt_tbl = FILTER(all_dates_tbl,ssr_history[step_name] in {""New Logo Selling"", ""Existing Customer Selling""}  && ssr_history[_sys_filt_end_date] >= end_date &&  ssr_history[_sys_filt_start_date] < end_date) -- apply the right steps and filter dates
			
			var res = SUMX(filt_tbl, ssr_history[opp_booking_amt])
			
			return res"
"meas.ssr_history_asof_open_pipeline_amt_sply_diff","KEEP","Measure calculating ssr history asof open pipeline amt sply diff. Respects the current filter context.","Returns asof open pipeline amount same period last year difference.","var res =DIVIDE ([meas.ssr_history_asof_open_pipeline_amt]  - [meas.ssr_history_asof_open_pipeline_amt_sply], [meas.ssr_history_asof_open_pipeline_amt_sply])
			return res"
"meas.ssr_history_asof_open_pipeline_count","KEEP","Count of ssr history asof open pipeline count. Respects the current filter context.","Returns the number of opportunities that are open as of the selected as-of date where step is New Logo Selling or Existing Customer Selling.","-- NOTE Open pipeline needs to override normal filter dates and is depndant on a second SYNCED slicer tied to the cal_end_dates_no_relationship table 
			var end_date =  CALCULATE(LASTDATE(cal_start_dates[Date]), ALLSELECTED())  -- get the end date of the second slicer 
			var all_dates_tbl = CALCULATETABLE(ssr_history, cal_end_dates[Date] > date(1900,1,1) && cal_end_dates[Date] < date(2100,1,2)) -- override the normal date filter and get current filters through calc table
			var filt_tbl = FILTER(all_dates_tbl,ssr_history[step_name] in {""New Logo Selling"", ""Existing Customer Selling""}  && ssr_history[_sys_filt_end_date] >= end_date &&  ssr_history[_sys_filt_start_date] < end_date) -- apply the right steps and filter dates
			var res = COuntX(filt_tbl, ssr_history[_sys_doc_id]) -- do the actual operation
			
			return res"
"meas.ssr_history_asof_open_pipeline_count_sply","KEEP","Count of ssr history asof open pipeline count sply. Respects the current filter context.","Returns the number of opportunities that are open as of the selected as-of date in the same period last year where step is New Logo Selling or Existing Customer Selling.","-- NOTE Open pipeline needs to override normal filter dates and is depndant on a second SYNCED slicer tied to the cal_end_dates_no_relationship table 
			var temp_date =  CALCULATE(LASTDATE(cal_start_dates[Date]), ALLSELECTED())  -- get the end date of the second slicer 
			var end_date  = DATE(Year(Temp_date) -1, MONTH(temp_date), DAY(temp_date)) -- shift one year older
			
			var all_dates_tbl = CALCULATETABLE(ssr_history, cal_end_dates[Date] > date(1900,1,1) && cal_end_dates[Date] < date(2100,1,2)) -- override the normal date filter and get current filters through calc table
			var filt_tbl = FILTER(all_dates_tbl,ssr_history[step_name] in {""New Logo Selling"", ""Existing Customer Selling""}  && ssr_history[_sys_filt_end_date] >= end_date &&  ssr_history[_sys_filt_start_date] < end_date) -- apply the right steps and filter dates
			var res = COuntX(filt_tbl, ssr_history[_sys_doc_id]) -- do the actual operation
			
			return res"
"meas.ssr_history_asof_open_pipeline_count_sply_diff","KEEP","Count of ssr history asof open pipeline count sply diff. Respects the current filter context.","Returns asof open pipeline count same period last year difference.","var res =DIVIDE ([meas.ssr_history_asof_open_pipeline_count]  - [meas.ssr_history_asof_open_pipeline_count_sply], [meas.ssr_history_asof_open_pipeline_count_sply])
			return res"
"meas.ssr_history_asof_open_pipeline_days_pushed","KEEP","Measure calculating ssr history asof open pipeline days pushed. Respects the current filter context.","Returns total open pipeline amount as of the selected as-of date where step is New Logo Selling or Existing Customer Selling.","-- NOTE Open pipeline needs to override normal filter dates and is depndant on a second SYNCED slicer tied to the cal_end_dates_no_relationship table 
			var end_date =  CALCULATE(LASTDATE(cal_start_dates[Date]), ALLSELECTED())  -- get the end date of the second slicer 
			var all_dates_tbl = CALCULATETABLE(ssr_history, cal_end_dates[Date] > date(1900,1,1) && cal_end_dates[Date] < date(2100,1,2)) -- override the normal date filter and get current filters through calc table
			var filt_tbl = FILTER(all_dates_tbl,ssr_history[step_name] in {""New Logo Selling"", ""Existing Customer Selling""}  && ssr_history[_sys_filt_end_date] >= end_date &&  ssr_history[_sys_filt_start_date] < end_date) -- apply the right steps and filter dates
			
			var res = AVERAGEX(filt_tbl, [trueai_days_pushed_pulled])
			
			return res"
"meas.ssr_history_asof_open_pipeline_days_pushed_sply","KEEP","Measure calculating ssr history asof open pipeline days pushed sply. Respects the current filter context.","Returns total open pipeline amount as of the selected as-of date in the same period last year where step is New Logo Selling or Existing Customer Selling.","-- NOTE Open pipeline needs to override normal filter dates and is depndant on a second SYNCED slicer tied to the cal_end_dates_no_relationship table 
			var temp_date =  CALCULATE(LASTDATE(cal_start_dates[Date]), ALLSELECTED())  -- get the end date of the second slicer 
			var end_date  = DATE(Year(Temp_date) -1, MONTH(temp_date), DAY(temp_date)) -- shift one year older
			
			var all_dates_tbl = CALCULATETABLE(ssr_history, cal_end_dates[Date] > date(1900,1,1) && cal_end_dates[Date] < date(2100,1,2)) -- override the normal date filter and get current filters through calc table
			var filt_tbl = FILTER(all_dates_tbl,ssr_history[step_name] in {""New Logo Selling"", ""Existing Customer Selling""}  && ssr_history[_sys_filt_end_date] >= end_date &&  ssr_history[_sys_filt_start_date] < end_date) -- apply the right steps and filter dates
			
			var res = AVERAGEX(filt_tbl, [trueai_days_pushed_pulled])
			
			return res"
"meas.ssr_history_asof_open_pipeline_days_pushed_sply_diff","KEEP","Measure calculating ssr history asof open pipeline days pushed sply diff. Respects the current filter context.","Returns asof open pipeline days pushed same period last year difference.","var res =DIVIDE ([meas.ssr_history_asof_open_pipeline_days_pushed]  - [meas.ssr_history_asof_open_pipeline_days_pushed_sply], [meas.ssr_history_asof_open_pipeline_days_pushed_sply])
			return res"
"meas.ssr_history_asof_open_pipeline_win_prob","KEEP","Measure calculating ssr history asof open pipeline win prob. Respects the current filter context.","Returns total open pipeline amount as of the selected as-of date where step is New Logo Selling or Existing Customer Selling.","-- NOTE Open pipeline needs to override normal filter dates and is depndant on a second SYNCED slicer tied to the cal_end_dates_no_relationship table 
			var end_date =  CALCULATE(LASTDATE(cal_start_dates[Date]), ALLSELECTED())  -- get the end date of the second slicer 
			var all_dates_tbl = CALCULATETABLE(ssr_history, cal_end_dates[Date] > date(1900,1,1) && cal_end_dates[Date] < date(2100,1,2)) -- override the normal date filter and get current filters through calc table
			var filt_tbl = FILTER(all_dates_tbl,ssr_history[step_name] in {""New Logo Selling"", ""Existing Customer Selling""}  && ssr_history[_sys_filt_end_date] >= end_date &&  ssr_history[_sys_filt_start_date] < end_date) -- apply the right steps and filter dates
			var res = AVERAGEX(filt_tbl, ssr_history[step_success_prob])
			return res"
"meas.ssr_history_asof_open_pipeline_win_prob_sply","KEEP","Measure calculating ssr history asof open pipeline win prob sply. Respects the current filter context.","Returns total open pipeline amount as of the selected as-of date in the same period last year where step is New Logo Selling or Existing Customer Selling.","-- NOTE Open pipeline needs to override normal filter dates and is depndant on a second SYNCED slicer tied to the cal_end_dates_no_relationship table 
			var temp_date =  CALCULATE(LASTDATE(cal_start_dates[Date]), ALLSELECTED())  -- get the end date of the second slicer 
			var end_date  = DATE(Year(Temp_date) -1, MONTH(temp_date), DAY(temp_date)) -- shift one year older
			
			var all_dates_tbl = CALCULATETABLE(ssr_history, cal_end_dates[Date] > date(1900,1,1) && cal_end_dates[Date] < date(2100,1,2)) -- override the normal date filter and get current filters through calc table
			var filt_tbl = FILTER(all_dates_tbl,ssr_history[step_name] in {""New Logo Selling"", ""Existing Customer Selling""}  && ssr_history[_sys_filt_end_date] >= end_date &&  ssr_history[_sys_filt_start_date] < end_date) -- apply the right steps and filter dates
			var res = AVERAGEX(filt_tbl, ssr_history[step_success_prob])
			return res"
"meas.ssr_history_asof_open_pipeline_win_prob_sply_diff","KEEP","Measure calculating ssr history asof open pipeline win prob sply diff. Respects the current filter context.","Returns asof open pipeline win probability same period last year difference.","var res =DIVIDE ([meas.ssr_history_asof_open_pipeline_win_prob]  - [meas.ssr_history_asof_open_pipeline_win_prob_sply], [meas.ssr_history_asof_open_pipeline_win_prob_sply])
			return res"
"meas.ssr_history_avg_act_capt_lvl","KEEP","Average of ssr history avg act capt lvl. Respects the current filter context.","Calculates average act capt lvl in the current reporting context.",""
"meas.ssr_history_avg_adj_duration_hrs","KEEP","Average of ssr history avg adj duration hrs. Respects the current filter context.","Calculates average adjusted duration hours in the current reporting context.",""
"meas.ssr_history_avg_adj_eng_duration_hrs","KEEP","Average of ssr history avg adj eng duration hrs. Respects the current filter context.","Calculates average adjusted eng duration hours in the current reporting context.",""
"meas.ssr_history_avg_adj_non_eng_duration_hrs","KEEP","Average of ssr history avg adj non eng duration hrs. Respects the current filter context.","Calculates average adjusted non eng duration hours in the current reporting context.",""
"meas.ssr_history_avg_booking_amt","KEEP","Average of ssr history avg booking amt. Respects the current filter context.","Calculates average booking amount in the current reporting context.",""
"meas.ssr_history_avg_initial_actual_amt_diff","KEEP","Average of ssr history avg initial actual amt diff. Respects the current filter context.","Returns average initial actual amount difference.","var _selected_item = SELECTEDVALUE(time_intelligence[filt_item])
			
			-- get the dates
			var curr_date = CALCULATE(MAX(cal_end_dates[Date])) // get the mgmt current end date
			var end_date = curr_date
			var end_date_sply = date(Year(end_date) -1,Month(end_date),day(end_date)) // get the yoy end date
			var start_year = Year(curr_date) 
			var start_qtr_month = (Quarter(curr_date) * 3) - 2  
			var start_month = Month(curr_date)
			var start_date_ytd = date(start_year,1,1)  
			var start_date_ytd_sply = date(start_year-1,1,1)
			var start_date_qtd = date(start_year,start_qtr_month ,1)  
			var start_date_qtd_sply = date(start_year -1,start_qtr_month,1)
			var start_date_mtd = date(start_year,start_month,1)  
			var start_date_mtd_sply = date(start_year -1,start_month,1)
			
			-- get data for overridden date periods but still contextual
			var mtd_delta =DIVIDE(
			    (
			      CALCULATE([meas.ssr_history_avg_initial_actual_booking_diff_amt],cal_end_dates[Date] >=  start_date_mtd &&  cal_end_dates[Date] <= end_date) - CALCULATE([meas.ssr_history_avg_initial_actual_booking_diff_amt],cal_end_dates[Date] >=  start_date_mtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			    ),          // mtd calculation
			    CALCULATE([meas.ssr_history_avg_initial_actual_booking_diff_amt],cal_end_dates[Date] >=  start_date_mtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			)
			
			var qtd_delta =DIVIDE(
			    (
			      CALCULATE([meas.ssr_history_avg_initial_actual_booking_diff_amt],cal_end_dates[Date] >=  start_date_qtd &&  cal_end_dates[Date] <= end_date) - CALCULATE([meas.ssr_history_avg_initial_actual_booking_diff_amt],cal_end_dates[Date] >=  start_date_qtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			    ),          // qtd calculation
			    CALCULATE([meas.ssr_history_avg_initial_actual_booking_diff_amt],cal_end_dates[Date] >=  start_date_qtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			)
			
			var ytd_delta =DIVIDE(
			    (
			      CALCULATE([meas.ssr_history_avg_initial_actual_booking_diff_amt],cal_end_dates[Date] >=  start_date_ytd &&  cal_end_dates[Date] <= end_date) - CALCULATE([meas.ssr_history_avg_initial_actual_booking_diff_amt],cal_end_dates[Date] >=  start_date_ytd_sply &&  cal_end_dates[Date] <= end_date_sply)
			    ),      // ytd calculation
			    CALCULATE([meas.ssr_history_avg_initial_actual_booking_diff_amt],cal_end_dates[Date] >=  start_date_ytd_sply &&  cal_end_dates[Date] <= end_date_sply)
			)
			
			var res = IF(
			    _selected_item=""MTD"", 
			    mtd_delta,
			    IF(
			        _selected_item=""QTD"",
			        qtd_delta,
			        IF(
			            _selected_item=""YTD"",
			            ytd_delta
			        )
			    )
			)
			
			
			RETURN
			res"
"meas.ssr_history_avg_initial_actual_booking_diff_amt","KEEP","Average of ssr history avg initial actual booking diff amt. Respects the current filter context.","Calculates average initial actual booking difference amount in the current reporting context.",""
"meas.ssr_history_avg_new_logo_won_amt","KEEP","Average of ssr history avg new logo won amt. Respects the current filter context.","Calculates average new logo won amount in the current reporting context.",""
"meas.ssr_history_avg_next_steps_prob","KEEP","Average of ssr history avg next steps prob. Respects the current filter context.","Calculates average next steps probability in the current reporting context.",""
"meas.ssr_history_avg_opp_initial_booking_amt","KEEP","Average of ssr history avg opp initial booking amt. Respects the current filter context.","Calculates average opportunity initial booking amount in the current reporting context.",""
"meas.ssr_history_avg_pred_conv_rate_mtd","KEEP","Rate of ssr history avg pred conv rate mtd. Respects the current filter context.","Returns the average average pred conv rate month-to-date.","-- get the dates
			var curr_date = CALCULATE(MAX(cal_end_dates[Date])) // get the mgmt current end date
			var end_date = curr_date
			var end_date_sply = date(Year(end_date) -1,Month(end_date),day(end_date)) // get the yoy end date
			var start_year = Year(curr_date) 
			var start_qtr_month = (Quarter(curr_date) * 3) - 2  
			var start_month = Month(curr_date)
			var start_date_ytd = date(start_year,1,1)  
			var start_date_ytd_sply = date(start_year-1,1,1)  
			var start_date_qtd = date(start_year,start_qtr_month ,1)  
			var start_date_qtd_sply = date(start_year -1,start_qtr_month,1)  
			var start_date_mtd = date(start_year,start_month,1)  
			var start_date_mtd_sply = date(start_year -1,start_month,1)  
			
			-- get data for overridden date periods but still contextual
			var dates_tbl =  CALCULATETABLE(ssr_history , cal_end_dates[Date] >=  start_date_mtd &&  cal_end_dates[Date] <= end_date)
			
			var res = CALCULATE(
			    AVERAGEX(
			        dates_tbl,
			        ssr_history[step_success_prob]
			    )
			)
			
			RETURN 
			IF( res = BLANK(), 0, res)"
"meas.ssr_history_avg_pred_conv_rate_mtd_sply","KEEP","Rate of ssr history avg pred conv rate mtd sply. Respects the current filter context.","Returns the average average pred conv rate month-to-date same period last year.","-- get the dates
			var curr_date = CALCULATE(MAX(cal_end_dates[Date])) // get the mgmt current end date
			var end_date = curr_date
			var end_date_sply = date(Year(end_date) -1,Month(end_date),day(end_date)) // get the yoy end date
			var start_year = Year(curr_date) 
			var start_qtr_month = (Quarter(curr_date) * 3) - 2  
			var start_month = Month(curr_date)
			var start_date_ytd = date(start_year,1,1)  
			var start_date_ytd_sply = date(start_year-1,1,1)  
			var start_date_qtd = date(start_year,start_qtr_month ,1)  
			var start_date_qtd_sply = date(start_year -1,start_qtr_month,1)  
			var start_date_mtd = date(start_year,start_month,1)  
			var start_date_mtd_sply = date(start_year -1,start_month,1)  
			
			-- get data for overridden date periods but still contextual
			var dates_tbl =  CALCULATETABLE(ssr_history , cal_end_dates[Date] >=  start_date_mtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			
			var res = CALCULATE(
			    AVERAGEX(
			        dates_tbl,
			        ssr_history[step_success_prob]
			    )
			)
			
			RETURN 
			IF( res = BLANK(), 0, res+0)"
"meas.ssr_history_avg_pred_conv_rate_mtd_sply_diff","KEEP","Rate of ssr history avg pred conv rate mtd sply diff. Respects the current filter context.","Calculates average pred conv rate month-to-date same period last year difference in the current reporting context.",""
"meas.ssr_history_avg_pred_conv_rate_qtd","KEEP","Rate of ssr history avg pred conv rate qtd. Respects the current filter context.","Returns the average average pred conv rate quarter-to-date.","-- get the dates
			var curr_date = CALCULATE(MAX(cal_end_dates[Date])) // get the mgmt current end date
			var end_date = curr_date
			var end_date_sply = date(Year(end_date) -1,Month(end_date),day(end_date)) // get the yoy end date
			var start_year = Year(curr_date) 
			var start_qtr_month = (Quarter(curr_date) * 3) - 2  
			var start_month = Month(curr_date)
			var start_date_ytd = date(start_year,1,1)  
			var start_date_ytd_sply = date(start_year-1,1,1)  
			var start_date_qtd = date(start_year,start_qtr_month ,1)  
			var start_date_qtd_sply = date(start_year -1,start_qtr_month,1)  
			var start_date_mtd = date(start_year,start_month,1)  
			var start_date_mtd_sply = date(start_year -1,start_month,1)  
			
			-- get data for overridden date periods but still contextual
			var dates_tbl =  CALCULATETABLE(ssr_history , cal_end_dates[Date] >=  start_date_qtd &&  cal_end_dates[Date] <= end_date)
			
			var res = CALCULATE(
			    AVERAGEX(
			        dates_tbl,
			        ssr_history[step_success_prob]
			    )
			)
			
			RETURN
			IF( res = BLANK(), 0, res+0)"
"meas.ssr_history_avg_pred_conv_rate_qtd_sply","KEEP","Rate of ssr history avg pred conv rate qtd sply. Respects the current filter context.","Returns the average average pred conv rate quarter-to-date same period last year.","-- get the dates
			var curr_date = CALCULATE(MAX(cal_end_dates[Date])) // get the mgmt current end date
			var end_date = curr_date
			var end_date_sply = date(Year(end_date) -1,Month(end_date),day(end_date)) // get the yoy end date
			var start_year = Year(curr_date) 
			var start_qtr_month = (Quarter(curr_date) * 3) - 2  
			var start_month = Month(curr_date)
			var start_date_ytd = date(start_year,1,1)  
			var start_date_ytd_sply = date(start_year-1,1,1)  
			var start_date_qtd = date(start_year,start_qtr_month ,1)  
			var start_date_qtd_sply = date(start_year -1,start_qtr_month,1)  
			var start_date_mtd = date(start_year,start_month,1)  
			var start_date_mtd_sply = date(start_year -1,start_month,1)  
			
			-- get data for overridden date periods but still contextual
			var dates_tbl =  CALCULATETABLE(ssr_history , cal_end_dates[Date] >=  start_date_qtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			
			var res = CALCULATE(
			    AVERAGEX(
			        dates_tbl,
			        ssr_history[step_success_prob]
			    )
			)
			
			RETURN
			IF( res = BLANK(), 0, res+0)"
"meas.ssr_history_avg_pred_conv_rate_qtd_sply_diff","KEEP","Rate of ssr history avg pred conv rate qtd sply diff. Respects the current filter context.","Calculates average pred conv rate quarter-to-date same period last year difference in the current reporting context.",""
"meas.ssr_history_avg_pred_conv_rate_ytd","KEEP","Rate of ssr history avg pred conv rate ytd. Respects the current filter context.","Returns the average average pred conv rate year-to-date.","-- get the dates
			var curr_date = CALCULATE(MAX(cal_end_dates[Date])) // get the mgmt current end date
			var end_date = curr_date
			var end_date_sply = date(Year(end_date) -1,Month(end_date),day(end_date)) // get the yoy end date
			var start_year = Year(curr_date) 
			var start_qtr_month = (Quarter(curr_date) * 3) - 2  
			var start_month = Month(curr_date)
			var start_date_ytd = date(start_year,1,1)  
			var start_date_ytd_sply = date(start_year-1,1,1)  
			var start_date_qtd = date(start_year,start_qtr_month ,1)  
			var start_date_qtd_sply = date(start_year -1,start_qtr_month,1)  
			var start_date_mtd = date(start_year,start_month,1)  
			var start_date_mtd_sply = date(start_year -1,start_month,1)  
			
			-- get data for overridden date periods but still contextual
			var dates_tbl =  CALCULATETABLE(ssr_history , cal_end_dates[Date] >=  start_date_ytd &&  cal_end_dates[Date] <= end_date)
			
			var res = CALCULATE(
			    AVERAGEX(
			        dates_tbl,
			        ssr_history[step_success_prob]
			    )
			)
			
			RETURN
			IF( res = BLANK(), 0, res+0)"
"meas.ssr_history_avg_pred_conv_rate_ytd_sply","KEEP","Rate of ssr history avg pred conv rate ytd sply. Respects the current filter context.","Returns the average average pred conv rate year-to-date same period last year.","-- get the dates
			var curr_date = CALCULATE(MAX(cal_end_dates[Date])) // get the mgmt current end date
			var end_date = curr_date
			var end_date_sply = date(Year(end_date) -1,Month(end_date),day(end_date)) // get the yoy end date
			var start_year = Year(curr_date) 
			var start_qtr_month = (Quarter(curr_date) * 3) - 2  
			var start_month = Month(curr_date)
			var start_date_ytd = date(start_year,1,1)  
			var start_date_ytd_sply = date(start_year-1,1,1)  
			var start_date_qtd = date(start_year,start_qtr_month ,1)  
			var start_date_qtd_sply = date(start_year -1,start_qtr_month,1)  
			var start_date_mtd = date(start_year,start_month,1)  
			var start_date_mtd_sply = date(start_year -1,start_month,1)  
			
			-- get data for overridden date periods but still contextual
			var dates_tbl =  CALCULATETABLE(ssr_history , cal_end_dates[Date] >=  start_date_ytd_sply &&  cal_end_dates[Date] <= end_date_sply)
			
			var res = CALCULATE(
			    AVERAGEX(
			        dates_tbl,
			        ssr_history[step_success_prob]
			    )
			)
			
			RETURN
			IF( res = BLANK(), 0, res+0)"
"meas.ssr_history_avg_pred_conv_rate_ytd_sply_diff","KEEP","Rate of ssr history avg pred conv rate ytd sply diff. Respects the current filter context.","Calculates average pred conv rate year-to-date same period last year difference in the current reporting context.",""
"meas.ssr_history_avg_pushed_pulled_days","KEEP","Average of ssr history avg pushed pulled days. Respects the current filter context.","Calculates average pushed pulled days in the current reporting context.",""
